spot_source_id,fut_source_id,symbol,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft,ob_imbalance_spot,ob_imbalance_fut,ob_vol_spot,ob_vol_fut,ob_skew_spot,ob_skew_fut,bid_wall_spot,ask_wall_fut,spread_l2,spread_l5,ba_spread_spot,ba_spread_fut,fr_r_abs,mins_to_funding,funding_urgency,fr_favorable,spread_mean_5m,spread_mean_15m,spread_std_5m,spread_vel_5m
6,3,VANRYUSDT,0.005521,0.00595,7.7703,1774127300000,0.005519,10901,0.005518,5843,0.005517,17620,0.005516,15146,0.005515,27416,0.005514,27272,0.005513,21600,0.005512,37417,0.005511,21600,0.00551,21600,0.005521,17870,0.005522,227675,0.005523,11600,0.005524,66915,0.005525,97754,0.005526,25004,0.005527,11600,0.005528,124518,0.005529,168038,0.00553,115354,0.00595,25137,0.005949,14842,0.005948,1682,0.005947,12412,0.005946,9441,0.005945,16818,0.005944,18163,0.005943,29060,0.005942,18163,0.005941,34065,0.005951,25296,0.005952,2611,0.005953,1681,0.005954,17535,0.005955,33491,0.005956,9239,0.005957,8296,0.005958,34420,0.005959,8298,0.00596,25413,5e-05,1774137600000,0.143526,0.332203,574003,201935,-0.702176,-0.479872,0,0,40.6659,7.69509,-2e-06,-1e-06,5e-05,171.667,1.69667e-09,0,7.7703,7.7703,,
6,3,VANRYUSDT,0.005521,0.00595,7.7703,1774127303769,0.005519,10901,0.005518,5843,0.005517,17620,0.005516,15146,0.005515,27416,0.005514,27272,0.005513,21600,0.005512,37417,0.005511,21600,0.00551,21600,0.005521,26511,0.005522,227675,0.005523,11600,0.005524,66915,0.005525,97754,0.005526,25004,0.005527,11600,0.005528,124518,0.005529,168038,0.00553,115354,0.00595,25146,0.005949,14842,0.005948,1682,0.005947,12412,0.005946,9441,0.005945,16818,0.005944,18163,0.005943,29060,0.005942,18163,0.005941,34065,0.005951,25296,0.005952,2611,0.005953,1681,0.005954,17535,0.005955,33491,0.005956,9239,0.005957,8296,0.005958,34420,0.005959,8298,0.00596,25413,5e-05,1774137600000,0.143526,0.332203,574003,201935,-0.702176,-0.479872,0,0,-5.14881,7.69509,-2e-06,-1e-06,5e-05,171.604,1.69792e-09,0,7.7703,7.7703,0,0
6,3,VANRYUSDT,0.005521,0.00595,7.7703,1774127304069,0.005519,10901,0.005518,5843,0.005517,17620,0.005516,15146,0.005515,27416,0.005514,27272,0.005513,21600,0.005512,37417,0.005511,21600,0.00551,21600,0.005521,26511,0.005522,227675,0.005523,11600,0.005524,66915,0.005525,97754,0.005526,25004,0.005527,11600,0.005528,124518,0.005529,168038,0.00553,115354,0.00595,25146,0.005949,14842,0.005948,1682,0.005947,12412,0.005946,9441,0.005945,16818,0.005944,18163,0.005943,29060,0.005942,18163,0.005941,34065,0.005951,25296,0.005952,2611,0.005953,1681,0.005954,17535,0.005955,33491,0.005956,9239,0.005957,8296,0.005958,34420,0.005959,8298,0.00596,25413,5e-05,1774137600000,0.143526,0.332203,574003,201935,-0.702176,-0.479872,0,0,-5.14881,7.69509,-2e-06,-1e-06,5e-05,171.599,1.69801e-09,0,7.7703,7.7703,0,0
6,3,VANRYUSDT,0.005521,0.00595,7.7703,1774127304369,0.005519,10901,0.005518,5843,0.005517,17620,0.005516,15146,0.005515,27416,0.005514,27272,0.005513,21600,0.005512,37417,0.005511,21600,0.00551,21600,0.005521,26511,0.005522,227675,0.005523,11600,0.005524,66915,0.005525,97754,0.005526,25004,0.005527,11600,0.005528,124518,0.005529,168038,0.00553,115354,0.00595,25146,0.005949,14842,0.005948,1682,0.005947,12412,0.005946,9441,0.005945,16818,0.005944,18163,0.005943,29060,0.005942,18163,0.005941,34065,0.005951,25296,0.005952,2611,0.005953,1681,0.005954,17535,0.005955,33491,0.005956,9239,0.005957,8296,0.005958,34420,0.005959,8298,0.00596,25413,5e-05,1774137600000,0.143526,0.332203,574003,201935,-0.702176,-0.479872,0,0,-5.14881,7.69509,-2e-06,-1e-06,5e-05,171.594,1.69811e-09,0,7.7703,7.7703,0,0
6,3,VANRYUSDT,0.005521,0.00595,7.7703,1774127304669,0.005519,10901,0.005518,5843,0.005517,17620,0.005516,15146,0.005515,27416,0.005514,27272,0.005513,21600,0.005512,37417,0.005511,21600,0.00551,21600,0.005521,26511,0.005522,227675,0.005523,11600,0.005524,66915,0.005525,97754,0.005526,25004,0.005527,11600,0.005528,124518,0.005529,168038,0.00553,115354,0.00595,25146,0.005949,14842,0.005948,1682,0.005947,12412,0.005946,9441,0.005945,16818,0.005944,18163,0.005943,29060,0.005942,18163,0.005941,34065,0.005951,25296,0.005952,2611,0.005953,1681,0.005954,17535,0.005955,33491,0.005956,9239,0.005957,8296,0.005958,34420,0.005959,8298,0.00596,25413,5e-05,1774137600000,0.143526,0.332203,574003,201935,-0.702176,-0.479872,0,0,-5.14881,7.69509,-2e-06,-1e-06,5e-05,171.589,1.69821e-09,0,7.7703,7.7703,0,0
6,3,VANRYUSDT,0.005521,0.00595,7.7703,1774127304970,0.00552,6986,0.005519,10901,0.005518,5843,0.005517,17620,0.005516,15146,0.005515,27416,0.005514,27272,0.005513,21600,0.005512,37417,0.005511,21600,0.005521,10074,0.005522,227675,0.005523,11600,0.005524,66915,0.005525,97754,0.005526,25004,0.005527,11600,0.005528,124518,0.005529,168038,0.00553,115354,0.00595,25146,0.005949,14842,0.005948,1682,0.005947,12412,0.005946,9441,0.005945,16818,0.005944,18163,0.005943,29060,0.005942,18163,0.005941,34065,0.005951,25296,0.005952,2611,0.005953,1681,0.005954,17535,0.005955,33491,0.005956,9239,0.005957,8296,0.005958,34420,0.005959,8298,0.00596,25413,5e-05,1774137600000,0.19809,0.332203,579819,201935,-0.685102,-0.479872,0,0,149.613,7.69509,-1e-06,-1e-06,5e-05,171.584,1.69831e-09,0,7.7703,7.7703,0,0
6,3,VANRYUSDT,0.005521,0.00595,7.7703,1774127305270,0.00552,6986,0.005519,10901,0.005518,5843,0.005517,17620,0.005516,15146,0.005515,27416,0.005514,27272,0.005513,21600,0.005512,37417,0.005511,21600,0.005521,10074,0.005522,227675,0.005523,11600,0.005524,66915,0.005525,97754,0.005526,25004,0.005527,11600,0.005528,124518,0.005529,168038,0.00553,115354,0.00595,25146,0.005949,14842,0.005948,1682,0.005947,12412,0.005946,9441,0.005945,16818,0.005944,18163,0.005943,29060,0.005942,18163,0.005941,34065,0.005951,25296,0.005952,2611,0.005953,1681,0.005954,17535,0.005955,33491,0.005956,9239,0.005957,8296,0.005958,34420,0.005959,8298,0.00596,25413,5e-05,1774137600000,0.19809,0.332203,579819,201935,-0.685102,-0.479872,0,0,149.613,7.69509,-1e-06,-1e-06,5e-05,171.579,1.69841e-09,0,7.7703,7.7703,0,0
6,3,VANRYUSDT,0.005521,0.00595,7.7703,1774127305570,0.00552,6986,0.005519,10901,0.005518,5843,0.005517,17620,0.005516,15146,0.005515,27416,0.005514,27272,0.005513,21600,0.005512,37417,0.005511,21600,0.005521,10074,0.005522,227675,0.005523,11600,0.005524,66915,0.005525,97754,0.005526,25004,0.005527,11600,0.005528,124518,0.005529,168038,0.00553,115354,0.00595,25146,0.005949,14842,0.005948,1682,0.005947,12412,0.005946,9441,0.005945,16818,0.005944,18163,0.005943,29060,0.005942,18163,0.005941,34065,0.005951,25296,0.005952,2611,0.005953,1681,0.005954,17535,0.005955,33491,0.005956,9239,0.005957,8296,0.005958,34420,0.005959,8298,0.00596,25413,5e-05,1774137600000,0.19809,0.332203,579819,201935,-0.685102,-0.479872,0,0,149.613,7.69509,-1e-06,-1e-06,5e-05,171.574,1.69851e-09,0,7.7703,7.7703,0,0
6,3,VANRYUSDT,0.005521,0.00595,7.7703,1774127305871,0.00552,6986,0.005519,10901,0.005518,5843,0.005517,17620,0.005516,15146,0.005515,27416,0.005514,27272,0.005513,21600,0.005512,37417,0.005511,21600,0.005521,10074,0.005522,227675,0.005523,11600,0.005524,66915,0.005525,97754,0.005526,25004,0.005527,11600,0.005528,124518,0.005529,168038,0.00553,115354,0.00595,25146,0.005949,14842,0.005948,1682,0.005947,12412,0.005946,9441,0.005945,16818,0.005944,18163,0.005943,29060,0.005942,18163,0.005941,34065,0.005951,25296,0.005952,2611,0.005953,1681,0.005954,17535,0.005955,33491,0.005956,9239,0.005957,8296,0.005958,34420,0.005959,8298,0.00596,25413,5e-05,1774137600000,0.19809,0.332203,579819,201935,-0.685102,-0.479872,0,0,149.613,7.69509,-1e-06,-1e-06,5e-05,171.569,1.69861e-09,0,7.7703,7.7703,0,0
6,3,VANRYUSDT,0.00552,0.00595,7.7899,1774127306207,0.005519,10901,0.005518,17443,0.005517,17620,0.005516,15146,0.005515,27416,0.005514,27272,0.005513,21600,0.005512,37417,0.005511,21600,0.00551,21600,0.00552,8661,0.005521,18559,0.005522,227675,0.005523,11600,0.005524,66915,0.005525,97754,0.005526,25004,0.005527,11600,0.005528,124518,0.005529,168038,0.00595,25146,0.005949,14842,0.005948,1682,0.005947,12412,0.005946,9441,0.005945,16818,0.005944,18163,0.005943,29060,0.005942,18163,0.005941,34065,0.005951,25296,0.005952,2611,0.005953,1681,0.005954,17535,0.005955,33491,0.005956,9239,0.005957,8296,0.005958,34420,0.005959,8298,0.00596,25413,5e-05,1774137600000,-0.430496,0.332203,556403,201935,-0.383073,-0.479872,0,0,190.336,7.7146,-1e-06,-1e-06,5e-05,171.563,1.69872e-09,0,7.77226,7.77226,0.00619806,0.00315773
